ROI,Effect,MeanEffect,StdEffect,StderrEffect
52,EvSem,0.425239,1.272647,0.340129
52,WProd,1.713319,1.720663,0.459867
52,SComp,0.411769,0.746486,0.199507
52,WComp,0.640137,0.783680,0.209447
52,Artic,2.009485,2.028477,0.542133
53,SProd,1.069010,1.089491,0.291179
53,EvSem,0.543132,0.558950,0.149386
53,WProd,1.082660,1.048263,0.280160
53,SComp,-0.044959,0.528175,0.141161
53,WComp,0.090436,0.511201,0.136624
53,Artic,1.147695,1.216033,0.324999
54,SProd,1.284810,1.410544,0.376984
54,EvSem,0.319843,0.550903,0.147235
54,WProd,1.245328,1.304473,0.348635
54,SComp,0.048932,0.262642,0.070194
54,WComp,0.054297,0.439310,0.117411
54,Artic,1.560359,1.355878,0.362374
55,SProd,0.809241,0.507681,0.135683
55,EvSem,0.599494,0.442924,0.118376
55,WProd,0.803028,0.728692,0.194751
55,SComp,0.269102,0.402073,0.107459
55,WComp,0.244190,0.381934,0.102076
55,Artic,0.720702,0.717326,0.191713
56,SProd,0.616001,0.553587,0.147952
56,EvSem,0.292174,0.370343,0.098978
56,WProd,0.647199,0.631417,0.168753
56,SComp,0.162428,0.200448,0.053572
56,WComp,0.203236,0.445785,0.119141
56,Artic,0.795969,0.669672,0.178978
57,SProd,0.714008,0.514869,0.137605
57,EvSem,0.454692,0.465730,0.124471
57,WProd,0.900474,0.583629,0.155981
57,SComp,0.392171,0.291212,0.077830
57,WComp,0.447675,0.496812,0.132779
57,Artic,0.946721,0.712007,0.190292
58,SProd,0.461462,0.515993,0.137905
58,EvSem,0.284272,0.618685,0.165351
58,WProd,1.204139,1.020541,0.272751
58,SComp,0.363308,0.442889,0.118367
58,WComp,0.388869,0.324622,0.086759
58,Artic,0.901462,0.749668,0.200357
59,SProd,0.257398,0.863939,0.230897
59,EvSem,0.258501,1.160986,0.310287
59,WProd,1.629532,1.388016,0.370963
59,SComp,0.689356,1.073339,0.286862
59,WComp,0.709852,0.848918,0.226883
59,Artic,1.230744,1.376514,0.367889
60,SProd,1.092087,1.132437,0.302657
60,EvSem,0.291917,0.304109,0.081277
60,WProd,1.148792,1.011354,0.270296
60,SComp,0.051144,0.309692,0.082769
60,WComp,0.017491,0.303359,0.081076
60,Artic,1.130571,0.914310,0.244360
61,SProd,0.386094,0.618133,0.165203
61,EvSem,0.155313,0.734410,0.196279
61,WProd,0.530736,0.540140,0.144359
61,SComp,0.110116,0.377189,0.100808
61,WComp,0.279544,0.574625,0.153575
61,Artic,0.712550,0.656559,0.175473
62,SProd,0.366408,0.718308,0.191976
62,EvSem,0.373493,0.583466,0.155938
62,WProd,0.537271,0.597544,0.159700
62,SComp,0.121589,0.576916,0.154187
62,WComp,0.191661,0.706054,0.188701
62,Artic,0.985955,1.335674,0.356974
63,SProd,0.698141,1.035443,0.276734
63,EvSem,0.005923,0.327302,0.087475
63,WProd,0.716819,0.999621,0.267160
63,SComp,0.083783,0.428504,0.114523
63,WComp,0.170185,0.553107,0.147824
63,Artic,1.147079,1.054758,0.281896
64,SProd,0.349306,0.492240,0.131557
64,EvSem,0.230863,0.481997,0.128819
64,WProd,0.479016,0.581190,0.155330
64,SComp,0.077796,0.152084,0.040646
64,WComp,0.192416,0.532667,0.142361
64,Artic,0.589156,0.716158,0.191401
65,SProd,0.968840,1.103428,0.294904
65,EvSem,0.174813,0.425906,0.113828
65,WProd,0.931881,0.918191,0.245397
65,SComp,0.086962,0.398776,0.106577
65,WComp,0.175781,0.488641,0.130595
65,Artic,1.212442,1.220547,0.326205
66,SProd,1.127639,1.197063,0.319928
66,EvSem,0.438800,0.500070,0.133649
66,WProd,0.966395,0.917977,0.245340
66,SComp,-0.115218,0.735729,0.196632
66,WComp,0.131262,0.773809,0.206809
66,Artic,1.269307,1.329259,0.355259
67,SProd,0.741810,1.549663,0.414165
67,EvSem,0.492590,1.280582,0.342250
67,WProd,1.871552,2.225578,0.594811
67,SComp,0.635193,1.309406,0.349953
67,WComp,0.533052,0.866737,0.231645
67,Artic,1.310442,1.763572,0.471334
68,SProd,0.583145,0.624836,0.166995
68,EvSem,0.276697,0.472379,0.126249
68,WProd,0.749269,0.703099,0.187911
68,SComp,0.155498,0.351951,0.094063
68,WComp,0.276144,0.424148,0.113358
68,Artic,0.806365,0.769858,0.205753
69,SProd,0.555998,0.472986,0.126411
69,EvSem,0.312164,0.406965,0.108766
69,WProd,0.638810,0.554111,0.148092
69,SComp,0.186652,0.236887,0.063311
69,WComp,0.221476,0.352073,0.094095
69,Artic,0.793133,0.576751,0.154143
70,SProd,0.532045,0.427060,0.114136
70,EvSem,0.239560,0.245875,0.065713
70,WProd,0.599612,0.514449,0.137492
70,SComp,0.061393,0.158856,0.042456
70,WComp,0.076676,0.183078,0.048930
70,Artic,0.580165,0.446390,0.119303
71,SProd,1.019663,1.654096,0.442076
71,EvSem,0.171353,0.906678,0.242320
71,WProd,1.358660,1.869671,0.499691
71,SComp,0.154317,0.540953,0.144576
71,WComp,0.221579,0.521564,0.139394
71,Artic,1.376622,1.998122,0.534021
72,SProd,1.099228,0.978101,0.261408
72,EvSem,0.727400,0.853084,0.227996
72,WProd,1.642524,1.514664,0.404811
72,SComp,0.355083,1.457388,0.389503
72,WComp,0.352027,1.134430,0.303189
72,Artic,1.849559,2.030396,0.542646
73,SProd,0.703415,0.909510,0.243077
73,EvSem,0.159979,0.364007,0.097285
