W,PRON,Include,256,NL,NN,SFN,NBN,SFBN,NBF,NBE,SFBF,SFBE,NON,SFON,NPN,SFPN,BFNC,BFNT,TFNC,TFNT,BFSC,BFST,TFSC,TFST,NP
phlill,flIl,,,6,0,0,26,3365,26,0,3365,0,2,1,7,6,616,426927,76,67292,23,1811,3,223,4
phlin,flIn,1,,5,0,0,19,17950,19,0,17950,0,2,1,7,13,540,557439,39,8446,19,8784,1,5,4
phlinn,flIn,,,6,0,0,3,10,3,0,10,0,2,1,7,13,576,560097,54,9275,29,4290,2,28,4
phlish,flIS,1,,6,0,0,5,312,5,0,312,0,2,1,8,11,556,606760,18,8323,20,2946,1,16,4
phlole,fl5l,,,6,0,0,11,592,11,0,592,0,2,1,6,36,776,297786,38,12277,11,1130,1,16,4
phlooge,flu_,1,,7,0,0,2,1,2,0,1,0,2,1,4,2,786,315796,37,27862,11,3642,2,8,4
phlorch,fl9J,,,7,0,0,3,23,3,0,23,0,2,1,5,17,865,669754,36,15379,11,997,0,0,4
phlorl,fl9l,,,6,0,0,1,0,0,1,0,0,2,1,5,17,481,481672,13,16516,8,1183,1,16,4
phloul,fl6l,1,,6,0,0,3,50,1,2,10,40,2,1,2,0,585,640160,42,100812,8,1680,1,16,4
phlourge,fl9_,1,,8,0,0,1,2,0,1,0,2,2,1,5,17,878,683550,92,64512,2,22,0,0,4
phluice,flus,1,,7,0,0,2,21,2,0,21,0,2,1,6,2,433,205759,36,15140,4,33,0,0,4
phlurg,fl3g,,,6,0,0,1,1,1,0,1,0,2,1,3,19,333,107117,33,1707,6,913,1,16,4
phraitch,fr1J,,,8,0,0,1,0,1,0,0,0,2,32,5,102,1227,788330,159,33244,19,5516,4,2338,4
phran,fr{n,1,,5,0,0,20,7874,18,2,7867,7,2,32,4,2,697,819415,54,15100,24,16900,0,0,4
phrarb,fr#b,,,6,0,0,2,3,2,0,3,0,2,32,0,0,814,349162,14,2361,73,11711,5,1211,4
phrauce,fr9s,1,,7,0,0,1,15,1,0,15,0,2,32,2,10,705,247778,23,2246,36,19321,2,36,4
phraugh,fr9,,,7,0,0,2,48,1,1,0,48,2,32,9,426,723,278513,71,52598,36,51454,3,16107,3
phraw,fr9,1,,5,0,0,18,666,18,0,666,0,2,32,9,426,551,122456,37,5444,24,15685,1,390,3
phreap,frip,,,6,0,0,5,65,5,0,65,0,2,32,6,13,994,662193,109,57276,71,21251,14,5827,4
phreep,frip,1,,6,0,0,13,678,13,0,678,0,2,32,6,13,806,638529,99,57744,69,22381,13,7012,4
phrich,frIJ,,,6,0,0,2,3244,2,0,3244,0,2,32,4,4,854,395528,51,66807,130,26389,15,2473,4
phrief,fr2f,1,,6,0,0,5,164,0,5,0,164,2,32,3,4,501,166567,62,20493,74,13512,14,2172,4
phrilth,frIlT,,,7,0,0,2,6,2,0,6,0,2,32,2,1,950,2144957,77,11069,53,18912,13,266,5
phrinch,frInJ,,,7,0,0,7,33,7,0,33,0,2,32,3,247,1221,807506,147,33596,65,21021,17,723,5
phroal,fr5l,1,,6,0,0,4,70,4,0,70,0,2,32,6,4,725,385857,59,29107,65,14723,13,3899,4
phroose,frus,1,,7,0,0,5,108,4,1,49,59,2,32,2,26,1019,693485,108,71660,35,35574,7,16227,4
phrourth,fr9T,,,8,0,0,1,43,1,0,43,0,2,32,3,11,1170,2674225,124,126916,15,2458,3,64,4
phruiche,fruS,1,,8,0,0,1,0,0,1,0,0,2,32,2,50,1104,2119159,142,80025,11,1138,1,382,4
phrurb,fr3b,,,6,0,0,2,6,2,0,6,0,2,32,0,0,392,148261,19,1909,61,9721,7,1178,4
phrurge,fr3_,,,7,0,0,4,30,4,0,30,0,2,32,1,4,624,225918,52,14057,31,18772,6,145,4
phrurse,fr3s,,,7,0,0,3,52,3,0,52,0,2,32,0,0,740,463116,60,30012,27,17276,2,59,4
phrybe,fr2b,1,,6,0,0,1,0,1,0,0,0,2,32,5,12,257,224388,3,576,46,7849,1,557,4
phuilt,fult,,,6,0,0,3,161,0,3,0,161,14,167,4,269,457,174602,31,8663,31,5083,1,95,4
plalc,pl{lk,,,5,0,0,1,0,1,0,0,0,94,1857,1,1,555,270345,41,27186,121,64173,11,14740,5
plarsh,pl#S,1,,6,0,0,2,26,2,0,26,0,94,1857,3,6,1127,599060,99,58309,161,37805,24,5786,4
pleeth,pliT,1,,6,0,0,1,77,1,0,77,0,94,1857,5,287,1096,2312282,72,24604,118,25679,15,2920,4
plell,plEl,,,5,0,0,15,1859,15,0,1859,0,94,1857,2,2,849,461727,58,39881,109,65367,11,2330,4
plerm,pl3m,,,5,0,0,5,76,5,0,76,0,94,1857,3,7,676,431245,30,8097,78,100290,7,664,4
plig,plIg,1,,4,2,7,15,354,15,0,354,0,94,1857,3,22,366,201158,22,8955,25,8935,0,0,4
plilk,plIlk,,,5,0,0,3,128,3,0,128,0,94,1857,0,0,528,260046,20,3288,106,61565,2,36,5
plilth,plIlT,,,6,1,1,2,6,2,0,6,0,94,1857,1,0,840,2157249,39,8663,116,28871,6,3416,5
