production,img,hit,subject_np,vp,subject_np_head,vp_head
A man is having his hair trimmed by a barber.,4741991547.jpg,4,A man,is having his hair trimmed by a barber.,man,having
A man is cutting a younger man's hair.,4741991547.jpg,4,A man,is cutting a younger man's hair.,man,cutting
A man is cutting a young man's hair.,4741991547.jpg,4,A man,is cutting a young man's hair.,man,cutting
A barber is cutting his clients hair with shears.,4741991547.jpg,4,A barber,is cutting his clients hair with shears.,barber,cutting
A man cutting another man's hair.,4741991547.jpg,4,A man,cutting another man's hair.,man,cutting
The man is cutting the other man's hair.,4741991547.jpg,4,The man,is cutting the other man's hair.,man,cutting
A young man looks straight ahead intently while a whimsical barber clips his hair with scissors.,4741991547.jpg,4,A young man, looks straight ahead intently while a whimsical barber clips his hair with scissors.,man,looks
He's getting a haircut.,4741991547.jpg,4,He,is getting a haircut.,he,getting
A man is blowing fire.,3923616497.jpg,4,A man,is blowing fire.,man,blowing
a street artist is swallowing fire,3923616497.jpg,4,a street artist,is swallowing fire,artist,swallowing
A man is breathing fire.,3923616497.jpg,4,A man,is breathing fire.,man,breathing
A man is breathing fire.,3923616497.jpg,4,A man,is breathing fire.,man,breathing
A person in white pants with bells is kneeling while fire-breathing.,3923616497.jpg,4,A person,is kneeling while fire-breathing.,person,kneeling
A street performer is blowing fire for a crowd.,3923616497.jpg,4,A street performer,is blowing fire for a crowd.,performer,blowing
A man is blowing fire.,3923616497.jpg,4,A man,is blowing fire.,man,blowing
A dancer is spitting fire from his mouth.,3923616497.jpg,4,A dancer,is spitting fire from his mouth.,dancer,spitting
The performer is flame-throwing.,3923616497.jpg,4,The performer,is flame-throwing.,performer,flame-throwing
A man is breathing fire while people watch.,3923616497.jpg,4,A man,is breathing fire while people watch.,man,breathing
A man performs a fire breathing trick before a crowd.,3923616497.jpg,4,A man, performs a fire breathing trick before a crowd.,man,performs
A Indian man performs while blowing fire out his mouth.,3923616497.jpg,4,A Indian man, performs while blowing fire out his mouth.,man,performs
A man is performing a ritualistic dance and blowing fire.,3923616497.jpg,4,A man,is performing a ritualistic dance and blowing fire.,man,performing
He's blowing fire.,3923616497.jpg,4,He,is blowing fire.,he,blowing
A man is performing fire breathing in the street with people gathered around.,3923616497.jpg,4,A man,is performing fire breathing in the street with people gathered around.,man,performing
A man with an anklet balances himself on the ground and breathes fire while men with bright head gear watch with apparent disapproval.,3923616497.jpg,4,A man with an anklet,balances himself on the ground and breathes fire while men with bright head gear watch with apparent disapproval.,man,balances
A man is breathing fire while several other people look on.,3923616497.jpg,4,A man,is breathing fire while several other people look on.,man,breathing
A shirtless man in white pants is kneeling and breathing fire for a crowd of onlookers.,3923616497.jpg,4,A shirtless man,is kneeling and breathing fire for a crowd of onlookers.,man,kneeling
A bare chested man is eating fire and is surrounded by other traditionally dressed Indian men in turbans.,3923616497.jpg,4,A bare chested man,is eating fire and is surrounded by other traditionally dressed Indian men in turbans.,man,eating
A man is standing on one knee as he breathes fire.,3923616497.jpg,4,A man,is standing on one knee as he breathes fire.,man,standing
A man is performing a fire blowing trick.,3923616497.jpg,4,A man,is performing a fire blowing trick.,man,performing
A performer blows fire from his mouth while an audience watches.,3923616497.jpg,4,A performer, blows fire from his mouth while an audience watches.,performer,blows
A little girl is staring desiringly at a chocolate milkshake.,3741462565.jpg,4,A little girl,is staring desiringly at a chocolate milkshake.,girl,staring
A child is looking at a chocolate milkshake while making a fish face.,3741462565.jpg,4,A child,is looking at a chocolate milkshake while making a fish face.,child,looking
A little girl is enjoying a chocolate milk shake.,3741462565.jpg,4,A little girl,is enjoying a chocolate milk shake.,girl,enjoying
A young girl is in awe staring at a milkshake.,3741462565.jpg,4,A young girl, is in awe staring at a milkshake.,girl,is
A little girl looking at a big milkshake.,3741462565.jpg,4,A little girl,looking at a big milkshake.,girl,looking
A girl is looking at a filled glass in front of her.,3741462565.jpg,4,A girl,is looking at a filled glass in front of her.,girl,looking
A little girl is excitedly looking at a milkshake.,3741462565.jpg,4,A little girl,is looking at a milkshake.,girl,looking
A little girl is excited about drinking her yummy milkshake.,3741462565.jpg,4,A little girl, is excited about drinking her yummy milkshake.,girl,is
A child is staring at a chocolate milkshake.,3741462565.jpg,4,A child,is staring at a chocolate milkshake.,child,staring
The girl is enjoying a milkshake.,3741462565.jpg,4,The girl,is enjoying a milkshake.,girl,enjoying
A girl is about to enjoy a big milkshake.,3741462565.jpg,4,A girl, is about to enjoy a big milkshake.,girl,is
A young girl is looking amazed at her milkshake.,3741462565.jpg,4,A young girl,is looking amazed at her milkshake.,girl,looking
A child has a look of awe on her face at the giant milkshake.,3741462565.jpg,4,A child, has a look of awe on her face at the giant milkshake.,child,has
She wanting to drink the shake.,3741462565.jpg,4,She, wanting to drink the shake.,she,wanting
The little girl is staring at her shake.,3741462565.jpg,4,The little girl,is staring at her shake.,girl,staring
A young girl is staring in awe at a delicious milkshake.,3741462565.jpg,4,A young girl,is staring in awe at a delicious milkshake.,girl,staring
A young girl in pink stares at a partial eaten chocolate milkshake.,3741462565.jpg,4,A young girl in pink,stares at a partial eaten chocolate milkshake.,girl,stares
A little girl looks at her big milkshake.,3741462565.jpg,4,A little girl, looks at her big milkshake.,girl,looks
a little girl is looking at her milkshake,3741462565.jpg,4,a little girl,is looking at her milkshake,girl,looking
A young girl in a pink shirt sits and marvels with delight over her milkshake.,3741462565.jpg,4,A young girl, sits and marvels with delight over her milkshake.,girl,sits
A young girl is sitting in a chair in a restaurant and is eyeing her tall chocolate milkshake with delight and amazement.,3741462565.jpg,4,A young girl,is sitting in a chair in a restaurant and is eyeing her tall chocolate milkshake with delight and amazement.,girl,sitting
A little girl is staring wide eyed at a large chocolate milkshake that's sitting on the table in front of her.,3741462565.jpg,4,A little girl,is staring wide eyed at a large chocolate milkshake that's sitting on the table in front of her.,girl,staring
A young girl is puckering her lips while looking at a milkshake.,3741462565.jpg,4,A young girl,is puckering her lips while looking at a milkshake.,girl,puckering
A woman is painting her nails.,5326507136.jpg,4,A woman,is painting her nails.,woman,painting
a woman is applying nail polish,5326507136.jpg,4,a woman,is applying nail polish,woman,applying
A lady is painting her nails.,5326507136.jpg,4,A lady,is painting her nails.,lady,painting
A woman is painting her gray nails black on a gold table.,5326507136.jpg,4,A woman,is painting her gray nails black on a gold table.,woman,painting
A woman is painting her fingernails.,5326507136.jpg,4,A woman,is painting her fingernails.,woman,painting
A woman paints her nails using a gold irregular shaped table as a base.,5326507136.jpg,4,A woman, paints her nails using a gold irregular shaped table as a base.,woman,paints
A woman is painting her nails.,5326507136.jpg,4,A woman,is painting her nails.,woman,painting
A woman is painting her nails black.,5326507136.jpg,4,A woman,is painting her nails black.,woman,painting
A woman painting her nails.,5326507136.jpg,4,A woman,painting her nails.,woman,painting
The woman is painting her nails.,5326507136.jpg,4,The woman,is painting her nails.,woman,painting
A woman is applying black nail polish to her left middle finger.,5326507136.jpg,4,A woman,is applying black nail polish to her left middle finger.,woman,applying
A woman is painting her fingernails.,5326507136.jpg,4,A woman,is painting her fingernails.,woman,painting
"A woman is polishing her fingernails a dark gray color, over a light gray color.",5326507136.jpg,4,A woman,"is polishing her fingernails a dark gray color, over a light gray color.",woman,polishing
She is painting her nails.,5326507136.jpg,4,She,is painting her nails.,she,painting
A woman is painting her fingernail with black polish.,5326507136.jpg,4,A woman,is painting her fingernail with black polish.,woman,painting
A woman paints her fingernails gray and black.,5326507136.jpg,4,A woman,paints her fingernails gray and black.,woman,paints
A woman is painting her nails blue.,5326507136.jpg,4,A woman,is painting her nails blue.,woman,painting
A woman is applying nail polish to her left middle finger.,5326507136.jpg,4,A woman,is applying nail polish to her left middle finger.,woman,applying
She's polishing her nails.,5326507136.jpg,4,She,is polishing her nails.,she,polishing
A women is painting her nails.,5326507136.jpg,4,A women,is painting her nails.,women,painting
A woman is painting darker polish over her gray fingernails.,5326507136.jpg,4,A woman,is painting darker polish over her gray fingernails.,woman,painting
A woman is painting her nails.,5326507136.jpg,4,A woman,is painting her nails.,woman,painting
A woman is painting her nails with a dark colored nail polish on a golden tabletop.,5326507136.jpg,4,A woman,is painting her nails with a dark colored nail polish on a golden tabletop.,woman,painting
A man with glasses kissing a crying baby.,4772601985.jpg,4,A man with glasses,kissing a crying baby.,man,kissing
"A man is kissing the cheek of a newborn, who is crying.",4772601985.jpg,4,A man,"is kissing the cheek of a newborn, who is crying.",man,kissing
A young man wearing glasses holds and kisses a crying baby.,4772601985.jpg,4,A young man, holds and kisses a crying baby.,man,holds
A man is kissing a baby that is crying.,4772601985.jpg,4,A man,is kissing a baby that is crying.,man,kissing
A man with glasses is kissing a baby on the cheek while the baby screams.,4772601985.jpg,4,A man,is kissing a baby on the cheek while the baby screams.,man,kissing
A man is kissing a crying baby on the cheek.,4772601985.jpg,4,A man,is kissing a crying baby on the cheek.,man,kissing
A father kisses his crying baby on the cheek to calm down.,4772601985.jpg,4,A father, kisses his crying baby on the cheek to calm down.,father,kisses
A father is kissing his crying baby.,4772601985.jpg,4,A father,is kissing his crying baby.,father,kissing
a man is kissing a crying newborn baby,4772601985.jpg,4,a man,is kissing a crying newborn baby,man,kissing
A man is kissing a crying newborn baby on the cheek.,4772601985.jpg,4,A man,is kissing a crying newborn baby on the cheek.,man,kissing
A man is kissing a baby boy.,4772601985.jpg,4,A man,is kissing a baby boy.,man,kissing
A man is kissing a crying newborn baby.,4772601985.jpg,4,A man,is kissing a crying newborn baby.,man,kissing
The man is kissing a baby.,4772601985.jpg,4,The man,is kissing a baby.,man,kissing
A man is gently kissing a crying newborn baby.,4772601985.jpg,4,A man,is kissing a crying newborn baby.,man,kissing
A father is kissing his crying newborn baby.,4772601985.jpg,4,A father,is kissing his crying newborn baby.,father,kissing
A man is kissing a small baby.,4772601985.jpg,4,A man,is kissing a small baby.,man,kissing
A man is kissing a newborn baby on the cheek.,4772601985.jpg,4,A man,is kissing a newborn baby on the cheek.,man,kissing
A man is kissing a crying baby on the cheek.,4772601985.jpg,4,A man,is kissing a crying baby on the cheek.,man,kissing
A father is holding his crying baby and kissing him on the cheek.,4772601985.jpg,4,A father,is holding his crying baby and kissing him on the cheek.,father,holding
A man kissing a crying baby.,4772601985.jpg,4,A man,kissing a crying baby.,man,kissing
A man holds a crying baby close and kisses the baby's cheek.,4772601985.jpg,4,A man, holds a crying baby close and kisses the baby's cheek.,man,holds
The man is kissing a crying baby.,4772601985.jpg,4,The man,is kissing a crying baby.,man,kissing
A man is kissing a crying baby on the cheek.,4772601985.jpg,4,A man,is kissing a crying baby on the cheek.,man,kissing
The person  is skiing down the mountain.,7188003.jpg,4,The person,is skiing down the mountain.,person,skiing
A man skis down a sharply declining hill in the winter.,7188003.jpg,4,A man,skis down a sharply declining hill in the winter.,man,skis
A person is skiing down a large hill.,7188003.jpg,4,A person,is skiing down a large hill.,person,skiing
The person is skiing down a slope.,7188003.jpg,4,The person,is skiing down a slope.,person,skiing
a person is skiing,7188003.jpg,4,a person,is skiing,person,skiing
A person is skiing down a steep slope.,7188003.jpg,4,A person,is skiing down a steep slope.,person,skiing
A man skis quickly down a deep slope.,7188003.jpg,4,A man,skis quickly down a deep slope.,man,skis
He's skiing.,7188003.jpg,4,He,is skiing.,he,skiing
A person is skiing down a slope.,7188003.jpg,4,A person,is skiing down a slope.,person,skiing
A person is skiing down a steep slope.,7188003.jpg,4,A person,is skiing down a steep slope.,person,skiing
A person is skiing down a steep snow covered mountain side.,7188003.jpg,4,A person,is skiing down a steep snow covered mountain side.,person,skiing
A skier is skiing down a steep snowy slope.,7188003.jpg,4,A skier,is skiing down a steep snowy slope.,skier,skiing
A person is skiing down a mountain.,7188003.jpg,4,A person,is skiing down a mountain.,person,skiing
A downhill skier is careening down a very steep slope.,7188003.jpg,4,A downhill skier,is careening down a very steep slope.,skier,careening
A skier going down a hill.,7188003.jpg,4,A skier,going down a hill.,skier,going
A skier skis down a steep hillside.,7188003.jpg,4,A skier,skis down a steep hillside.,skier,skis
Someone is skiing down a steep snow covered ski slope.,7188003.jpg,4,Someone,is skiing down a steep snow covered ski slope.,someone,skiing
A skier is skiing downhill toward the camera.,7188003.jpg,4,A skier,is skiing downhill toward the camera.,skier,skiing
A person is skiing down a slope.,7188003.jpg,4,A person,is skiing down a slope.,person,skiing
A person is skiing down a mountain.,7188003.jpg,4,A person,is skiing down a mountain.,person,skiing
A man is skiing down a mountain.,7188003.jpg,4,A man,is skiing down a mountain.,man,skiing
A skier is skiing down a steep hill.,7188003.jpg,4,A skier,is skiing down a steep hill.,skier,skiing
A skier is headed down the slopes.,7188003.jpg,4,A skier,is headed down the slopes.,skier,headed
"A guy is laid back, relaxing in some tall grass.",7243489604.jpg,4,A guy,"is laid back, relaxing in some tall grass.",guy,laid
A man is lying down in a field of tall grass and smiling.,7243489604.jpg,4,A man,is lying down in a field of tall grass and smiling.,man,lying
The guy is lying down in the tall grass relaxing.,7243489604.jpg,4,The guy,is lying down in the tall grass relaxing.,guy,lying
A guy is relaxing in a wheat field.,7243489604.jpg,4,A guy,is relaxing in a wheat field.,guy,relaxing
a boy is laying in the middle of high grass,7243489604.jpg,4,a boy,is laying in the middle of high grass,boy,laying
A man is laying down in the middle of a grassy field.,7243489604.jpg,4,A man,is laying down in the middle of a grassy field.,man,laying
A young man lays on his back in a patch of tall grass.,7243489604.jpg,4,A young man, lays on his back in a patch of tall grass.,man,lays
The boy is laying in a field of long grass.,7243489604.jpg,4,The boy,is laying in a field of long grass.,boy,laying
He is relaxing while laying in the grass.,7243489604.jpg,4,He,is relaxing while laying in the grass.,he,relaxing
A man is laying back in tall grass.,7243489604.jpg,4,A man,is laying back in tall grass.,man,laying
A young adult male is laying with his arms behind his head in the tall grass smiling.,7243489604.jpg,4,A young adult male,is laying with his arms behind his head in the tall grass smiling.,male,laying
A man laying in very tall grass.,7243489604.jpg,4,A man,laying in very tall grass.,man,laying
A man is lying on the grass with his arms under his head and a big smile on his face.,7243489604.jpg,4,A man,is lying on the grass with his arms under his head and a big smile on his face.,man,lying
A young man is lying down in a field of tall grass.,7243489604.jpg,4,A young man,is lying down in a field of tall grass.,man,lying
A man is laying down in the tall grass.,7243489604.jpg,4,A man,is laying down in the tall grass.,man,laying
A man is laying in some tall grass.,7243489604.jpg,4,A man,is laying in some tall grass.,man,laying
A man is laying down in tall grass.,7243489604.jpg,4,A man,is laying down in tall grass.,man,laying
A man is laying in a field of grass.,7243489604.jpg,4,A man,is laying in a field of grass.,man,laying
He's enjoying the sunshine.,7243489604.jpg,4,He,is enjoying the sunshine.,he,enjoying
A young gentleman smiles effervescently as he lays back amidst tall grass.,7243489604.jpg,4,A young gentleman, smiles effervescently as he lays back amidst tall grass.,gentleman,smiles
A man is laying in tall soft grass smiling.,7243489604.jpg,4,A man,is laying in tall soft grass smiling.,man,laying
A man doing a yoga pose in a park with his eyes closed,41105465.jpg,4,A man,doing a yoga pose in a park with his eyes closed,man,doing
A young man sitting in a meditative pose on some bubble wrap on a lawn.,41105465.jpg,4,A young man,sitting in a meditative pose on some bubble wrap on a lawn.,man,sitting
A man with his eyes closed is meditating.,41105465.jpg,4,A man,is meditating.,man,meditating
He's meditating.,41105465.jpg,4,He,is meditating.,he,meditating
A man is meditating on what looks like bubble wrap.,41105465.jpg,4,A man,is meditating on what looks like bubble wrap.,man,meditating
The man is meditating.,41105465.jpg,4,The man,is meditating.,man,meditating
A man is meditating on the grass.,41105465.jpg,4,A man,is meditating on the grass.,man,meditating
A young man in a scarf and beanie sits on the grass and meditates with his eyes closed.,41105465.jpg,4,A young man, sits on the grass and meditates with his eyes closed.,man,sits
A man is performing meditation.,41105465.jpg,4,A man,is performing meditation.,man,performing
"A man is sitting cross-legged in the middle of a grassy area, eyes closed as he meditates.",41105465.jpg,4,A man,"is sitting cross-legged in the middle of a grassy area, eyes closed as he meditates.",man,sitting
A young man meditates at  a park.,41105465.jpg,4,A young man,meditates at a park.,man,meditates
A man is meditating in a park.,41105465.jpg,4,A man,is meditating in a park.,man,meditating
A man is meditating on some grass.,41105465.jpg,4,A man,is meditating on some grass.,man,meditating
A man is meditating while on the grass.,41105465.jpg,4,A man,is meditating while on the grass.,man,meditating
A man is meditating on bubble wrap in the park.,41105465.jpg,4,A man,is meditating on bubble wrap in the park.,man,meditating
A man is sitting meditating on the grass.,41105465.jpg,4,A man,is sitting meditating on the grass.,man,sitting
"A man is sitting outside on a piece of plastic, legs crossed, eyes closed, meditating.",41105465.jpg,4,A man,"is sitting outside on a piece of plastic, legs crossed, eyes closed, meditating.",man,sitting
The young man is meditating.,41105465.jpg,4,The young man,is meditating.,man,meditating
a man is meditating on the grass,41105465.jpg,4,a man,is meditating on the grass,man,meditating
A man is doing yoga outside by himself and meditating.,41105465.jpg,4,A man,is doing yoga outside by himself and meditating.,man,doing
A man with his eyes closed is seated in a yoga position on the grass on top of a covering and appears to be praying or meditating.,41105465.jpg,4,A man,is seated in a yoga position on the grass on top of a covering and appears to be praying or meditating.,man,seated
A guy is doing yoga outside on a piece of bubble wrap.,41105465.jpg,4,A guy,is doing yoga outside on a piece of bubble wrap.,guy,doing
A young man is meditating on a plastic mat in the grass.,41105465.jpg,4,A young man,is meditating on a plastic mat in the grass.,man,meditating
A woman is leaning forward resting her upper body and arms on a counter.,3680138.jpg,4,A woman,is leaning forward resting her upper body and arms on a counter.,woman,leaning
An excited young woman is leaning over the counter top with her hands folded and a big wide open smile on her face.,3680138.jpg,4,An excited young woman,is leaning over the counter top with her hands folded and a big wide open smile on her face.,woman,leaning
"A woman is leaning on the counter, laughing at something funny.",3680138.jpg,4,A woman,"is leaning on the counter, laughing at something funny.",woman,leaning
An attractive woman wearing a jersey is leaning over a counter and laughing.,3680138.jpg,4,An attractive woman,is leaning over a counter and laughing.,woman,leaning
A woman is laughing and smiling at something she is looking at.,3680138.jpg,4,A woman,is laughing and smiling at something she is looking at.,woman,laughing
A young woman dressed in sweats leans on a kitchen counter smiling.,3680138.jpg,4,A young woman dressed in sweats,leans on a kitchen counter smiling.,woman,leans
A girl is smiling while leaning over the counter.,3680138.jpg,4,A girl,is smiling while leaning over the counter.,girl,smiling
A woman is in the kitchen leaning on a island and laughs.,3680138.jpg,4,A woman, is in the kitchen leaning on a island and laughs.,woman,is
A woman leaning on a counter and smiling,3680138.jpg,4,A woman, leaning on a counter and smiling.,woman,leaning
A girl leans on a kitchen counter near DVDs and laughs.,3680138.jpg,4,A girl, leans on a kitchen counter near DVDs and laughs.,girl,leans
"A woman is leaning on a counter, laughing.",3680138.jpg,4,A woman,"is leaning on a counter, laughing.",woman,leaning
She's laughing at something.,3680138.jpg,4,She,is laughing at something.,she,laughing
A girl is leaning over the kitchen counter laughing.,3680138.jpg,4,A girl,is leaning over the kitchen counter laughing.,girl,leaning
A young woman is laughing at something.,3680138.jpg,4,A young woman,is laughing at something.,woman,laughing
a woman is smiling,3680138.jpg,4,a woman,is smiling,woman,smiling
A woman leaning on a counter while laughing next to a copy of coyote ugly.,3680138.jpg,4,A woman,leaning on a counter while laughing next to a copy of coyote ugly.,woman,leaning
A woman is leaning on a table with her arms crossed as she laughs.,3680138.jpg,4,A woman,is leaning on a table with her arms crossed as she laughs.,woman,leaning
A young woman is leaning over on a counter and laughing.,3680138.jpg,4,A young woman,is leaning over on a counter and laughing.,woman,leaning
The girl is laughing.,3680138.jpg,4,The girl,is laughing.,girl,laughing
A young woman is leaning over a counter and laughing.,3680138.jpg,4,A young woman,is leaning over a counter and laughing.,woman,leaning
A woman is leaning on a counter laughing.,3680138.jpg,4,A woman,is leaning on a counter laughing.,woman,leaning
A woman is smiling in the kitchen.,3680138.jpg,4,A woman,is smiling in the kitchen.,woman,smiling
A women is laughing.,3680138.jpg,4,A women,is laughing.,women,laughing
A little girl is smelling a flower.,5411504795.jpg,4,A little girl,is smelling a flower.,girl,smelling
A young girl in a pink shirt smells a dandelion.,5411504795.jpg,4,A young girl, smells a dandelion.,girl,smells
A girl is smelling a yellow flower.,5411504795.jpg,4,A girl,is smelling a yellow flower.,girl,smelling
A little girl smelling a flower.,5411504795.jpg,4,A little girl,smelling a flower.,girl,smelling
A child is smelling a flower.,5411504795.jpg,4,A child,is smelling a flower.,child,smelling
A young girl in a pink shirt stands outside on the grass and sniffs a yellow flower.,5411504795.jpg,4,A young girl, stands outside on the grass and sniffs a yellow flower.,girl,stands
A little girl is sniffing a flower.,5411504795.jpg,4,A little girl,is sniffing a flower.,girl,sniffing
A girl is sniffing a flower.,5411504795.jpg,4,A girl,is sniffing a flower.,girl,sniffing
A little girl smells a yellow flower.,5411504795.jpg,4,A little girl, smells a yellow flower.,girl,smells
The little girl is smelling the flower.,5411504795.jpg,4,The little girl,is smelling the flower.,girl,smelling
The girl is sniffing a flower.,5411504795.jpg,4,The girl,is sniffing a flower.,girl,sniffing
A little girl is smelling a yellow flower.,5411504795.jpg,4,A little girl,is smelling a yellow flower.,girl,smelling
A child in a pink shirt smelling a dandelion.,5411504795.jpg,4,A child in a pink shirt, smelling a dandelion.,child,smelling
A young girl in a pink t-shirt is smelling a yellow flower which she is holding in her right hand.,5411504795.jpg,4,A young girl,is smelling a yellow flower which she is holding in her right hand.,girl,smelling
A little girl is smelling a dandelion flower.,5411504795.jpg,4,A little girl,is smelling a dandelion flower.,girl,smelling
A little girl is smelling a flower.,5411504795.jpg,4,A little girl,is smelling a flower.,girl,smelling
a little girl is smelling a flower,5411504795.jpg,4,a little girl,is smelling a flower,girl,smelling
She's smelling the flower.,5411504795.jpg,4,She,is smelling the flower.,she,smelling
A young girl is smelling a yellow dandelion.,5411504795.jpg,4,A young girl,is smelling a yellow dandelion.,girl,smelling
A little girl is smelling a yellow flower.,5411504795.jpg,4,A little girl,is smelling a yellow flower.,girl,smelling
A girl is smelling a yellow flower.,5411504795.jpg,4,A girl,is smelling a yellow flower.,girl,smelling
A young girl is smelling a flower.,5411504795.jpg,4,A young girl,is smelling a flower.,girl,smelling
A young girl has her nose pressed to a yellow flower.,5411504795.jpg,4,A young girl, has her nose pressed to a yellow flower.,girl,has
"A woman is at a carwash, washing her minivan.",4546207144.jpg,4,A woman," is at an carwash, washing her minivan.",woman,is
An obese woman is washing her minivan.,4546207144.jpg,4,An obese woman,is washing her minivan.,woman,washing
A woman stands up while  washing her truck.,4546207144.jpg,4,A woman, stands up while  washing her truck.,woman,stands up
a woman is washing her vehicle.,4546207144.jpg,4,a woman,is washing her vehicle.,woman,washing
A woman is spraying the back of her car at a car wash.,4546207144.jpg,4,A woman,is spraying the back of her car at a car wash.,woman,spraying
A woman is washing her van with New York tags.,4546207144.jpg,4,A woman,is washing her van with New York tags.,woman,washing
A middle woman is hosing the back exterior of her tan colored car.,4546207144.jpg,4,A middle woman,is hosing the back exterior of her tan colored car.,woman,hosing
An obese woman with a lanyard washes her car at a car wash.,4546207144.jpg,4,An obese woman, washes her car at a car wash.,woman,washes
A woman is cleaning her minivan.,4546207144.jpg,4,A woman,is cleaning her minivan.,woman,cleaning
She's fixing to get gas.,4546207144.jpg,4,She,'s fixing to get gas.,she,fixing
A woman is washing her car.,4546207144.jpg,4,A woman,is washing her car.,woman,washing
The woman is washing her vehicle.,4546207144.jpg,4,The woman,is washing her vehicle.,woman,washing
a woman is washing the back of a car,4546207144.jpg,4,a woman,is washing the back of a car,woman,washing
An overweight woman is washing her Chevrolet.,4546207144.jpg,4,An overweight woman,is washing her Chevrolet.,woman,washing
A woman washing a minivan.,4546207144.jpg,4,A woman,washing a minivan.,woman,washing
A woman is rinsing her van off at the car wash.,4546207144.jpg,4,A woman,is rinsing her van off at the car wash.,woman,rinsing
A heavy set woman uses a sprayer to washer her mini van.,4546207144.jpg,4,A heavy set woman, uses a sprayer to washer her mini van.,woman,uses
A woman is washing her car.,4546207144.jpg,4,A woman,is washing her car.,woman,washing
A fat lady is washing her SUV.,4546207144.jpg,4,A fat lady,is washing her SUV.,lady,washing
A woman washes her van.,4546207144.jpg,4,A woman, washes her van.,woman,washes
A woman is washing her car at a car wash.,4546207144.jpg,4,A woman,is washing her car at a car wash.,woman,washing
A heavy-set woman is washing her minivan at a car wash.,4546207144.jpg,4,A heavy-set woman,is washing her minivan at a car wash.,woman,washing
An artist is painting a landscape painting.,4544245701.jpg,4,An artist,is painting a landscape painting.,artist,painting
An artist is getting paint from an easel as they paint a landscape.,4544245701.jpg,4,An artist,is getting paint from an easel as they paint a landscape.,artist,getting
A woman is painting a scene.,4544245701.jpg,4,A woman,is painting a scene.,woman,painting
A lady stands outside and paints an accurate landscape.,4544245701.jpg,4,A lady, stands outside and paints an accurate landscape.,lady,stands
A person has an easel set up outside while painting a landscape picture.,4544245701.jpg,4,A person, has an easel set up outside while painting a landscape picture.,person,has
a painter is painting a nature scenery,4544245701.jpg,4,a painter,is painting a nature scenery,painter,painting
Outside a woman paints on a small canvas.,4544245701.jpg,4,a woman,paints on a small canvas.,woman,paints
A man is painting a scenic picture out in the scenery.,4544245701.jpg,4,A man,is painting a scenic picture out in the scenery.,man,painting
A person is painting a landscape while standing outdoors.,4544245701.jpg,4,A person,is painting a landscape while standing outdoors.,person,painting
A woman is drawing,4544245701.jpg,4,A woman,is drawing,woman,drawing
An artist is painting her landscape.,4544245701.jpg,4,An artist,is painting her landscape.,artist,painting
The person is painting a mural.,4544245701.jpg,4,The person,is painting a mural.,person,painting
The artist is outside painting a picture.,4544245701.jpg,4,The artist, is outside painting a picture.,artist,is
An artist is painting a picture of the background scenery.,4544245701.jpg,4,An artist,is painting a picture of the background scenery.,artist,painting
A man is painting a picture of the forest.,4544245701.jpg,4,A man,is painting a picture of the forest.,man,painting
She's painting the landscape.,4544245701.jpg,4,She,is painting the landscape.,she,painting
A woman is painting a scene while standing on a hill over a lake.,4544245701.jpg,4,A woman,is painting a scene while standing on a hill over a lake.,woman,painting
A woman is painting a picture of water and trees.,4544245701.jpg,4,A woman,is painting a picture of water and trees.,woman,painting
A woman painting outside,4544245701.jpg,4,A woman,painting outside,woman,painting
A woman is painting a scene.,4544245701.jpg,4,A woman,is painting a scene.,woman,painting
A woman is painting a landscape portrait while outside.,4544245701.jpg,4,A woman,is painting a landscape portrait while outside.,woman,painting
"A person is out in nature, painting the surroundings.",4544245701.jpg,4,A person," is out in nature, painting the surroundings.",person,is
"A man is standing out in the wilderness, painting a picture of the scenery in front of him.",4544245701.jpg,4,A man,"is standing out in the wilderness, painting a picture of the scenery in front of him.",man,standing
A bunch of dogs are playing in a large fountain.,41999070.jpg,4,A bunch of dogs,are playing in a large fountain.,dogs,playing
Dogs are swimming in a pool.,41999070.jpg,4,Dogs,are swimming in a pool.,dogs,swimming
The dogs were playing in the water.,41999070.jpg,4,The dogs,were playing in the water.,dogs,playing
Several dogs are playing and swimming in a large round pond in an outdoor park setting with people looking on.,41999070.jpg,4,Several dogs,are playing and swimming in a large round pond in an outdoor park setting with people looking on.,dogs,playing
A group of Labrador Retrievers are playing in a swimming pool.,41999070.jpg,4,A group of Labrador Retrievers,are playing in a swimming pool.,group,playing
A group of dogs are playing in the water.,41999070.jpg,4,A group of dogs,are playing in the water.,group,playing
A bunch of dogs play in a water feature in a park.,41999070.jpg,4,A bunch of dogs, play in a water feature in a park.,dogs,play
A group of dogs are playing in a pool while people watch.,41999070.jpg,4,A group of dogs,are playing in a pool while people watch.,group,playing
A bunch of dogs are swimming in the water.,41999070.jpg,4,A bunch of dogs,are swimming in the water.,dogs,swimming
A group of dogs playing in a fountain at a park.,41999070.jpg,4,A group of dogs,playing in a fountain at a park.,group,playing
Several dogs are playing in the water.,41999070.jpg,4,Several dogs,are playing in the water.,dogs,playing
A group of dogs are swimming in a body of water.,41999070.jpg,4,A group of dogs,are swimming in a body of water.,group,swimming
Six dogs are playing with toys in the water at a dog park.,41999070.jpg,4,Six dogs,are playing with toys in the water at a dog park.,dogs,playing
