production,img,hit,subject_np,vp,subject_np_head,vp_head
A man is pouring a drink into a cup,6848900321.jpg,1,A man,is pouring a drink into a cup,man,pouring
A bartender is making a drink.,6848900321.jpg,1,A bartender,is making a drink.,bartender,making
A man pours a drink into a glass.,6848900321.jpg,1,A man, pours a drink into a glass.,man,pours
A man makes a cocktail,6848900321.jpg,1,A man, makes a cocktail,man,makes
A male bar tender wearing a bowlers cap is pouring a drink into a martini glass.,6848900321.jpg,1,A male bartender,is pouring a drink into a martini glass.,bartender,pouring
A man is pouring a cocktail into a glass.,6848900321.jpg,1,A man,is pouring a cocktail into a glass.,man,pouring
A bartender pours a drink into a glass.,6848900321.jpg,1,A bartender, pours a drink into a glass.,bartender,pours
A man is making drinks.,6848900321.jpg,1,A man,is making drinks.,man,making
A bartender is serving a drink.,6848900321.jpg,1,A bartender,is serving a drink.,bartender,serving
A bartender is pouring a drink.,6848900321.jpg,1,A bartender,is pouring a drink.,bartender,pouring
A bartender is pouring a drink while holding the glass down.,6848900321.jpg,1,A bartender,is pouring a drink while holding the glass down.,bartender,pouring
A bartender is pouring a drink into a martini glass.,6848900321.jpg,1,A bartender,is pouring a drink into a martini glass.,bartender,pouring
A bartender is pouring a drink,6848900321.jpg,1,A bartender,is pouring a drink,bartender,pouring
A man pours alcohol into a cocktail glass.,6848900321.jpg,1,A man, pours alcohol into a cocktail glass.,man,pours
A bartender is making a drink.,6848900321.jpg,1,A bartender,is making a drink.,bartender,making
A bartender is pouring a drink for someone.,6848900321.jpg,1,A bartender,is pouring a drink for someone.,bartender,pouring
he make a drink,6848900321.jpg,1,he, makes a drink,he,makes
A bartender is pouring a drink into a martini glass.,6848900321.jpg,1,A bartender,is pouring a drink into a martini glass.,bartender,pouring
A man is pouring a drink at a bar.,6848900321.jpg,1,A man,is pouring a drink at a bar.,man,pouring
A bartender is pouring a mixed drink into a margarita glass.,6848900321.jpg,1,A bartender,is pouring a mixed drink into a margarita glass.,bartender,pouring
A man pours a drink,6848900321.jpg,1,A man, pours a drink,man,pours
a woman is hunched over while riding roller skates.,6986780079.jpg,1,A woman,is hunched over while riding roller skates.,woman,is
A girl is rollerblading.,6986780079.jpg,1,A girl,is rollerblading.,girl,rollerblading
A lady is rollerskating.,6986780079.jpg,1,A lady,is rollerskating.,lady,rollerskating
A woman is roller skating.,6986780079.jpg,1,A woman, is rollerskating.,woman,rollerskating
A woman is roller blading in an indoor arena with her teammates looking on.,6986780079.jpg,1,A woman, is rollerblading in an indoor arena with her teammates looking on.,woman,rollerblading
a girl rollerblading,6986780079.jpg,1,a girl, rollerblading.,girl,rollerblading
A woman wearing roller derby clothing is in the middle of skating during a competition.,6986780079.jpg,1,A woman, is in the middle of skating during a competition.,woman,is
A woman is skating on roller skates for roller derby.,6986780079.jpg,1,A woman,is skating on roller skates for roller derby.,woman,skating
A woman is roller skating.,6986780079.jpg,1,A woman, is rollerskating.,woman,rollerskating
A woman is playing roller derby.,6986780079.jpg,1,A woman,is playing roller derby.,woman,playing
A woman is skating in a sport called Roller Derby.,6986780079.jpg,1,A woman,is skating in a sport called Roller Derby.,woman,skating
A woman is skating in safety gear.,6986780079.jpg,1,A woman,is skating in safety gear.,woman,skating
A young woman wearing the number 89 on her arm is playing roller derby.,6986780079.jpg,1,A young woman,is playing roller derby.,woman,playing
A woman is skating in a roller derby,6986780079.jpg,1,A woman,is skating in a roller derby,woman,skating
A lady is skating in front of other skater sitting down.,6986780079.jpg,1,A lady,is skating in front of other skater sitting down.,lady,skating
A woman is hunched over as she rollerskates.,6986780079.jpg,1,A woman,is hunched over as she rollerskates.,woman,is
A woman is in a competition for roller blading.,6986780079.jpg,1,A woman, is in a competition for roller blading.,woman,is
A woman is competing in a skating derby.,6986780079.jpg,1,A woman,is competing in a skating derby.,woman,competing
A girl is rollerskating.,6986780079.jpg,1,A girl,is rollerskating.,girl,rollerskating
A woman is skating with a background of people dressed similar behind her sitting down.,6986780079.jpg,1,A woman,is skating with a background of people dressed similar behind her sitting down.,woman,skating
A woman is rollerblading in a rink.,6986780079.jpg,1,A woman,is rollerblading in a rink.,woman,rollerblading
A woman in a helmet and skates participates in a roller derby.,6986780079.jpg,1,A woman, participates in a roller derby,woman,participates
A woman ducks down as she roller skates.,6986780079.jpg,1,A woman, ducks down as she roller skates.,woman,ducks
A girl is playing roller derby,6986780079.jpg,1,A girl,is playing roller derby,girl,playing
A roller derby woman is skating in a crouched position.,6986780079.jpg,1,A roller derby woman,is skating in a crouched position.,woman,skating
A women is competing in a roller derby contest,6986780079.jpg,1,A woman,is competing in a roller derby contest,woman,competing
A woman is on rollerskates.,6986780079.jpg,1,A woman, is on rollerskates.,woman,is
A woman is roller skating,6986780079.jpg,1,A woman, is rollerskating,woman,rollerskating
she is skating,6986780079.jpg,1,she,is skating,she,skating
A man is doing some wind surfing in the ocean.,7114922111.jpg,1,A man,is doing some wind surfing in the ocean.,man,doing
A man is sailing on the water.,7114922111.jpg,1,A man,is sailing on the water.,man,sailing
a guy windsurfing,7114922111.jpg,1,a guy, windsurfing,guy,
A man is surfing,7114922111.jpg,1,A man,is surfing,man,surfing
A man in a wetsuit is wind surfing and riding a large wave.,7114922111.jpg,1,A man, is windsurfing and riding a large wave.,man,windsurfing
A man is doing a water sport.,7114922111.jpg,1,A man,is doing a water sport.,man,doing
A man is riding a wave while windsurfing.,7114922111.jpg,1,A man,is riding a wave while windsurfing.,man,riding
A man kite surfs,7114922111.jpg,1,A man, kitesurfs,man,kitesurfs
A man is wakeboarding.,7114922111.jpg,1,A man,is wakeboarding.,man,wakeboarding
a man is windsurfing.,7114922111.jpg,1,a man,is windsurfing.,man,windsurfing
A man is surfing a sail board.,7114922111.jpg,1,A man,is surfing a sail board.,man,surfing
A man is surfing,7114922111.jpg,1,A man,is surfing,man,surfing
A man is windsurfing.,7114922111.jpg,1,A man,is windsurfing.,man,windsurfing
A man is kitesurfing a wave.,7114922111.jpg,1,A man,is kitesurfing a wave.,man,kitesurfing
A man is wind surfing on a wave.,7114922111.jpg,1,A man, is windsurfing on a wave.,man,windsurfing
A man is surfing on a large wave.,7114922111.jpg,1,A man,is surfing on a large wave.,man,surfing
A man is surfing.,7114922111.jpg,1,A man,is surfing.,man,surfing
A man is wind surfing.,7114922111.jpg,1,A man, is windsurfing.,man,windsurfing
A man is wind surfing on a yellow and orange board.,7114922111.jpg,1,A man,is  windsurfing on a yellow and orange board.,man,windsurfing
