ROI,Effect,MeanEffect,StdEffect,StderrEffect,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
1,VisEvSem,0.435509,1.364887,0.364781,E3,lang,S>N,ProdLoc_typed,IFGorb,1,LH
2,SProd,1.431415,1.531181,0.409225,E3,lang,S>N,ProdLoc_typed,IFG,1,LH
2,WProd,0.691212,1.828767,0.488758,E3,lang,S>N,ProdLoc_typed,IFG,1,LH
2,SComp,0.642023,1.012258,0.270537,E3,lang,S>N,ProdLoc_typed,IFG,1,LH
2,WComp,0.431577,1.077801,0.288054,E3,lang,S>N,ProdLoc_typed,IFG,1,LH
2,NProd,0.740799,2.039706,0.545134,E3,lang,S>N,ProdLoc_typed,IFG,1,LH
2,VisEvSem,0.569531,1.822738,0.487147,E3,lang,S>N,ProdLoc_typed,IFG,1,LH
3,SProd,1.203821,1.526909,0.408084,E3,lang,S>N,ProdLoc_typed,MFG,1,LH
3,WProd,0.472241,1.366502,0.365213,E3,lang,S>N,ProdLoc_typed,MFG,1,LH
3,SComp,0.942098,0.843765,0.225506,E3,lang,S>N,ProdLoc_typed,MFG,1,LH
3,WComp,0.658472,1.051622,0.281058,E3,lang,S>N,ProdLoc_typed,MFG,1,LH
3,NProd,0.430694,1.498806,0.400573,E3,lang,S>N,ProdLoc_typed,MFG,1,LH
3,VisEvSem,0.418853,0.926,0.247484,E3,lang,S>N,ProdLoc_typed,MFG,1,LH
4,SProd,0.228654,0.598662,0.159999,E3,lang,S>N,ProdLoc_typed,AntTemp,1,LH
4,WProd,-0.331105,0.467911,0.125054,E3,lang,S>N,ProdLoc_typed,AntTemp,1,LH
4,SComp,0.154496,0.407567,0.108927,E3,lang,S>N,ProdLoc_typed,AntTemp,1,LH
4,WComp,-8.41e-4,0.421407,0.112626,E3,lang,S>N,ProdLoc_typed,AntTemp,1,LH
4,NProd,-0.083185,0.555193,0.14838200000000001,E3,lang,S>N,ProdLoc_typed,AntTemp,1,LH
4,VisEvSem,0.134833,0.389083,0.103987,E3,lang,S>N,ProdLoc_typed,AntTemp,1,LH
5,SProd,0.613808,0.805802,0.21536,E3,lang,S>N,ProdLoc_typed,PostTemp,1,LH
5,WProd,-0.09435,0.694498,0.185612,E3,lang,S>N,ProdLoc_typed,PostTemp,1,LH
5,SComp,0.58389,0.639069,0.170798,E3,lang,S>N,ProdLoc_typed,PostTemp,1,LH
5,WComp,0.292497,0.694491,0.18561,E3,lang,S>N,ProdLoc_typed,PostTemp,1,LH
5,NProd,0.038869,0.652122,0.174287,E3,lang,S>N,ProdLoc_typed,PostTemp,1,LH
5,VisEvSem,0.127022,0.411713,0.110035,E3,lang,S>N,ProdLoc_typed,PostTemp,1,LH
6,SProd,0.00902,0.868666,0.232161,E3,lang,S>N,ProdLoc_typed,AngG,1,LH
6,WProd,-0.623546,0.818066,0.218637,E3,lang,S>N,ProdLoc_typed,AngG,1,LH
6,SComp,0.14471,0.492068,0.131511,E3,lang,S>N,ProdLoc_typed,AngG,1,LH
6,WComp,-0.078224,0.568295,0.151883,E3,lang,S>N,ProdLoc_typed,AngG,1,LH
6,NProd,-0.484919,0.762483,0.203782,E3,lang,S>N,ProdLoc_typed,AngG,1,LH
6,VisEvSem,0.025952,0.798286,0.213351,E3,lang,S>N,ProdLoc_typed,AngG,1,LH
7,SProd,0.332965,0.662891,0.177165,E3,lang,S>N,ProdLoc_typed,IFGorb,1,RH
7,WProd,-0.100481,0.7744,0.206967,E3,lang,S>N,ProdLoc_typed,IFGorb,1,RH
7,SComp,-0.045828,0.633982,0.169439,E3,lang,S>N,ProdLoc_typed,IFGorb,1,RH
