ROI,Subject,Effect,LocalizerSize,EffectSize,Expt,Network,Localizer_contrast,CriticalTask,ROI_name,Speak_and_type,Hemisphere
7,746_FED_20190328a_3T2_PL2017,S,37,0.019771,E1,lang,S>N,langloc,IFGorb,0,RH
7,746_FED_20190328a_3T2_PL2017,N,37,-0.094921,E1,lang,S>N,langloc,IFGorb,0,RH
7,747_FED_20190328b_3T2_PL2017,S,37,0.334117,E1,lang,S>N,langloc,IFGorb,0,RH
7,747_FED_20190328b_3T2_PL2017,N,37,0.263857,E1,lang,S>N,langloc,IFGorb,0,RH
7,748_FED_20190328c_3T2_PL2017,S,37,0.843726,E1,lang,S>N,langloc,IFGorb,0,RH
7,748_FED_20190328c_3T2_PL2017,N,37,-0.476931,E1,lang,S>N,langloc,IFGorb,0,RH
7,749_FED_20190404a_3T2_PL2017,S,37,-0.351995,E1,lang,S>N,langloc,IFGorb,0,RH
7,749_FED_20190404a_3T2_PL2017,N,37,-0.320298,E1,lang,S>N,langloc,IFGorb,0,RH
7,750_FED_20190404b_3T2_PL2017,S,37,0.542253,E1,lang,S>N,langloc,IFGorb,0,RH
7,750_FED_20190404b_3T2_PL2017,N,37,0.004219,E1,lang,S>N,langloc,IFGorb,0,RH
7,751_FED_20190404c_3T2_PL2017,S,37,0.818178,E1,lang,S>N,langloc,IFGorb,0,RH
7,751_FED_20190404c_3T2_PL2017,N,37,1.324815,E1,lang,S>N,langloc,IFGorb,0,RH
7,752_FED_20190404d_3T2_PL2017,S,37,1.161245,E1,lang,S>N,langloc,IFGorb,0,RH
7,752_FED_20190404d_3T2_PL2017,N,37,0.078364,E1,lang,S>N,langloc,IFGorb,0,RH
7,753_FED_20190405a_3T2_PL2017,S,37,-0.067965,E1,lang,S>N,langloc,IFGorb,0,RH
7,753_FED_20190405a_3T2_PL2017,N,37,0.079321,E1,lang,S>N,langloc,IFGorb,0,RH
7,754_FED_20190405b_3T2_PL2017,S,37,0.520954,E1,lang,S>N,langloc,IFGorb,0,RH
7,754_FED_20190405b_3T2_PL2017,N,37,0.600048,E1,lang,S>N,langloc,IFGorb,0,RH
7,755_FED_20190411a_3T2_PL2017,S,37,4.999427,E1,lang,S>N,langloc,IFGorb,0,RH
7,755_FED_20190411a_3T2_PL2017,N,37,4.118522,E1,lang,S>N,langloc,IFGorb,0,RH
7,756_FED_20190411b_3T2_PL2017,S,37,2.745034,E1,lang,S>N,langloc,IFGorb,0,RH
7,756_FED_20190411b_3T2_PL2017,N,37,0.787021,E1,lang,S>N,langloc,IFGorb,0,RH
7,757_FED_20190411c_3T2_PL2017,S,37,2.795262,E1,lang,S>N,langloc,IFGorb,0,RH
7,757_FED_20190411c_3T2_PL2017,N,37,1.750373,E1,lang,S>N,langloc,IFGorb,0,RH
7,758_FED_20190411d_3T2_PL2017,S,37,0.62987,E1,lang,S>N,langloc,IFGorb,0,RH
7,758_FED_20190411d_3T2_PL2017,N,37,0.652158,E1,lang,S>N,langloc,IFGorb,0,RH
7,768_FED_20190517a_3T2_PL2017,S,37,0.895903,E1,lang,S>N,langloc,IFGorb,0,RH
7,768_FED_20190517a_3T2_PL2017,N,37,0.643366,E1,lang,S>N,langloc,IFGorb,0,RH
8,742_FED_20190320b_3T2_PL2017,S,74,1.031477,E1,lang,S>N,langloc,IFG,0,RH
8,742_FED_20190320b_3T2_PL2017,N,74,0.602949,E1,lang,S>N,langloc,IFG,0,RH
8,746_FED_20190328a_3T2_PL2017,S,74,0.790953,E1,lang,S>N,langloc,IFG,0,RH
8,746_FED_20190328a_3T2_PL2017,N,74,0.54652,E1,lang,S>N,langloc,IFG,0,RH
8,747_FED_20190328b_3T2_PL2017,S,74,0.465805,E1,lang,S>N,langloc,IFG,0,RH
8,747_FED_20190328b_3T2_PL2017,N,74,0.354966,E1,lang,S>N,langloc,IFG,0,RH
8,748_FED_20190328c_3T2_PL2017,S,74,0.991296,E1,lang,S>N,langloc,IFG,0,RH
8,748_FED_20190328c_3T2_PL2017,N,74,0.383755,E1,lang,S>N,langloc,IFG,0,RH
8,749_FED_20190404a_3T2_PL2017,S,74,0.238785,E1,lang,S>N,langloc,IFG,0,RH
8,749_FED_20190404a_3T2_PL2017,N,74,-0.153014,E1,lang,S>N,langloc,IFG,0,RH
8,750_FED_20190404b_3T2_PL2017,S,74,2.565519,E1,lang,S>N,langloc,IFG,0,RH
8,750_FED_20190404b_3T2_PL2017,N,74,0.730403,E1,lang,S>N,langloc,IFG,0,RH
8,751_FED_20190404c_3T2_PL2017,S,74,2.117218,E1,lang,S>N,langloc,IFG,0,RH
8,751_FED_20190404c_3T2_PL2017,N,74,1.679789,E1,lang,S>N,langloc,IFG,0,RH
8,752_FED_20190404d_3T2_PL2017,S,74,2.106158,E1,lang,S>N,langloc,IFG,0,RH
8,752_FED_20190404d_3T2_PL2017,N,74,0.113707,E1,lang,S>N,langloc,IFG,0,RH
8,753_FED_20190405a_3T2_PL2017,S,74,1.146803,E1,lang,S>N,langloc,IFG,0,RH
8,753_FED_20190405a_3T2_PL2017,N,74,0.951687,E1,lang,S>N,langloc,IFG,0,RH
8,754_FED_20190405b_3T2_PL2017,S,74,0.099966,E1,lang,S>N,langloc,IFG,0,RH
8,754_FED_20190405b_3T2_PL2017,N,74,0.205147,E1,lang,S>N,langloc,IFG,0,RH
8,755_FED_20190411a_3T2_PL2017,S,74,4.693236,E1,lang,S>N,langloc,IFG,0,RH
8,755_FED_20190411a_3T2_PL2017,N,74,3.773654,E1,lang,S>N,langloc,IFG,0,RH
8,756_FED_20190411b_3T2_PL2017,S,74,5.137013,E1,lang,S>N,langloc,IFG,0,RH
8,756_FED_20190411b_3T2_PL2017,N,74,1.915414,E1,lang,S>N,langloc,IFG,0,RH
8,757_FED_20190411c_3T2_PL2017,S,74,1.767791,E1,lang,S>N,langloc,IFG,0,RH
8,757_FED_20190411c_3T2_PL2017,N,74,1.171234,E1,lang,S>N,langloc,IFG,0,RH
8,758_FED_20190411d_3T2_PL2017,S,74,0.617533,E1,lang,S>N,langloc,IFG,0,RH
8,758_FED_20190411d_3T2_PL2017,N,74,0.156378,E1,lang,S>N,langloc,IFG,0,RH
8,768_FED_20190517a_3T2_PL2017,S,74,1.358842,E1,lang,S>N,langloc,IFG,0,RH
8,768_FED_20190517a_3T2_PL2017,N,74,1.564838,E1,lang,S>N,langloc,IFG,0,RH
9,742_FED_20190320b_3T2_PL2017,S,46,0.658484,E1,lang,S>N,langloc,MFG,0,RH
9,742_FED_20190320b_3T2_PL2017,N,46,0.822291,E1,lang,S>N,langloc,MFG,0,RH
9,746_FED_20190328a_3T2_PL2017,S,46,0.85985,E1,lang,S>N,langloc,MFG,0,RH
9,746_FED_20190328a_3T2_PL2017,N,46,0.35845,E1,lang,S>N,langloc,MFG,0,RH
9,747_FED_20190328b_3T2_PL2017,S,46,0.635896,E1,lang,S>N,langloc,MFG,0,RH
9,747_FED_20190328b_3T2_PL2017,N,46,0.373157,E1,lang,S>N,langloc,MFG,0,RH
9,748_FED_20190328c_3T2_PL2017,S,46,1.432918,E1,lang,S>N,langloc,MFG,0,RH
9,748_FED_20190328c_3T2_PL2017,N,46,0.721906,E1,lang,S>N,langloc,MFG,0,RH
9,749_FED_20190404a_3T2_PL2017,S,46,0.026088,E1,lang,S>N,langloc,MFG,0,RH
9,749_FED_20190404a_3T2_PL2017,N,46,0.341913,E1,lang,S>N,langloc,MFG,0,RH
9,750_FED_20190404b_3T2_PL2017,S,46,3.46293,E1,lang,S>N,langloc,MFG,0,RH
9,750_FED_20190404b_3T2_PL2017,N,46,2.70402,E1,lang,S>N,langloc,MFG,0,RH
9,751_FED_20190404c_3T2_PL2017,S,46,1.535231,E1,lang,S>N,langloc,MFG,0,RH
